merge_column,Sample,kefir type,Stage,data_source
TG_ID052_ML_T3_S76_host_removed_R2.fastq.gz,ID052,ML,T3,This study
TG_GO_T1_ML_0AN_S25_host_removed_R2.fastq.gz,GO,ML,T0,This study
TG_ID058_WG_T5_S60_host_removed_R2.fastq.gz,ID058,WG,T5,This study
TG_ID110_WG_T6_S92_host_removed_R1.fastq.gz,ID110,WG,T6,This study
TG_ID061_WG_T6_S157_host_removed_R2.fastq.gz,ID061,WG,T6,This study
TG_ID085_WL_T5_S77_host_removed_R1.fastq.gz,ID085,WL,T5,This study
TG_ID113_WL_T6_S118_host_removed_R1.fastq.gz,ID113,WL,T6,This study
TG_ID043_ML_T2_S186_host_removed_R1.fastq.gz,ID043,ML,T2,This study
TG_ID053_ML_T3_S113_host_removed_R2.fastq.gz,ID053,ML,T3,This study
TG_ID092_WG_T5_S82_host_removed_R1.fastq.gz,ID092,WG,T5,This study
TG_SK_T2_ML_0AE_S73_host_removed_R1.fastq.gz,SK,ML,T0,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID010_ML_T3_S108_host_removed_R1.fastq.gz,ID010,ML,T3,This study
TG_ID043_ML_T1_S162_host_removed_R2.fastq.gz,ID043,ML,T1,This study
TG_SK_T2_ML_0AE_S73_host_removed_R1.fastq.gz,SK,ML,T0,This study
TG_LO_T1_ML_0AN_S49_host_removed_R2.fastq.gz,LO,ML,T0,This study
TG_ID083_WL_T3_S182_host_removed_R2.fastq.gz,ID083,WL,T3,This study
TG_ID070_WG_T2_S332_host_removed_R1.fastq.gz,ID070,WG,T2,This study
TG_ID058_WL_T4_S36_host_removed_R1.fastq.gz,ID058,WL,T4,This study
TG_ID092_WG_T4_S17_host_removed_R1.fastq.gz,ID092,WG,T4,This study
TG_ID113_WL_T6_S118_host_removed_R2.fastq.gz,ID113,WL,T6,This study
TG_ID042_ML_T6_S172_host_removed_R2.fastq.gz,ID042,ML,T6,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_LO_T1_ML_0AE_S1_host_removed_R2.fastq.gz,LO,ML,T0,This study
TG_ID056_WL_T5_S95_host_removed_R1.fastq.gz,ID056,WL,T5,This study
TG_ID110_WL_T2_S177_host_removed_R1.fastq.gz,ID110,WL,T2,This study
TG_ID070_WG_T5_S32_host_removed_R1.fastq.gz,ID070,WG,T5,This study
TG_ID089_WG_T1_S319_host_removed_R2.fastq.gz,ID089,WG,T1,This study
TG_ID087_WL_T5_S30_host_removed_R2.fastq.gz,ID087,WL,T5,This study
TG_ID070_WG_T1_S188_host_removed_R1.fastq.gz,ID070,WG,T1,This study
TG_ID090_WG_T3_S136_host_removed_R1.fastq.gz,ID090,WG,T3,This study
TG_ID010_ML_T5_S120_host_removed_R1.fastq.gz,ID010,ML,T5,This study
TG_ID058_WG_T1_S2_host_removed_R2.fastq.gz,ID058,WG,T1,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID090_WL_T5_S7_host_removed_R1.fastq.gz,ID090,WL,T5,This study
TG_ID096_WL_T1_S117_host_removed_R2.fastq.gz,ID096,WL,T1,This study
TG_ID115_ML_T5_S126_host_removed_R2.fastq.gz,ID115,ML,T5,This study
TG_FL_T2_WG_0AN_S180_host_removed_R1.fastq.gz,FL,WG,T0,This study
TG_ID084_WG_T6_S133_host_removed_R1.fastq.gz,ID084,WG,T6,This study
TG_FU_T1_ML_0AN_S37_host_removed_R2.fastq.gz,FU,ML,T0,This study
TG_ID010_ML_T5_S120_host_removed_R2.fastq.gz,ID010,ML,T5,This study
TG_ID013_MG_T1_S373_host_removed_R2.fastq.gz,ID013,MG,T1,This study
